image_id,unetpp_prnu_illum_iou,unetpp_prnu_freq_iou,unetpp_freq_illum_iou,unetpp_all_iou,attenunet_prnu_illum_iou,attenunet_prnu_freq_iou,attenunet_freq_illum_iou,attenunet_all_iou,ensemble_prnu_illum_iou,ensemble_prnu_freq_iou,ensemble_freq_illum_iou,ensemble_all_iou
239,0.960854,0.97724,0.961511,0.96463,0.958187,0.965394,0.953741,0.962204,0.963225,0.97341,0.960517,0.966168
240,0.921214,0.931517,0.88152,0.974041,0.925697,0.938403,0.883054,0.946518,0.926499,0.932929,0.881476,0.961034
241,0.923483,0.939263,0.862637,0.929997,0.927536,0.944114,0.901146,0.929778,0.926427,0.942034,0.877,0.931205
242,0.948698,0.928867,0.935922,0.966435,0.948897,0.920225,0.897002,0.93852,0.953416,0.929164,0.940171,0.958894
243,0.969754,0.97061,0.966592,0.969179,0.976866,0.966518,0.966171,0.967694,0.979408,0.969122,0.972222,0.970643
244,0.941759,0.948795,0.881436,0.924771,0.939777,0.956923,0.863119,0.956061,0.949472,0.955994,0.877603,0.942868
245,0.953528,0.942371,0.935495,0.955907,0.951107,0.942295,0.917148,0.94865,0.962157,0.946159,0.931244,0.954845
246,0.96061,0.933747,0.940177,0.942677,0.947626,0.934917,0.912908,0.932005,0.955603,0.936141,0.928772,0.941075
247,0.946862,0.963193,0.911231,0.951182,0.94129,0.962863,0.88475,0.944166,0.944059,0.964701,0.9055,0.947104
248,0.950328,0.947368,0.880946,0.960093,0.951134,0.934092,0.89936,0.924169,0.956384,0.946287,0.892063,0.948548
249,0.963445,0.96701,0.961999,0.964236,0.966936,0.965905,0.958695,0.967247,0.969345,0.97238,0.961107,0.968315
250,0.962035,0.953786,0.948718,0.939205,0.932263,0.916925,0.937691,0.937402,0.945554,0.942457,0.94487,0.944444
251,0.954942,0.94708,0.940789,0.970535,0.949344,0.944729,0.922064,0.961302,0.953353,0.946213,0.935417,0.972727
252,0.962099,0.952381,0.942104,0.931576,0.957143,0.950893,0.936123,0.930131,0.967133,0.960269,0.941214,0.930916
253,0.947034,0.96398,0.951748,0.956829,0.945215,0.963201,0.955579,0.955072,0.95,0.965714,0.953513,0.95904
254,0.96675,0.974665,0.909753,0.973138,0.978762,0.973304,0.946559,0.963415,0.975951,0.975795,0.931186,0.972332
255,0.910328,0.938324,0.94066,0.920228,0.903387,0.940699,0.907033,0.912693,0.907937,0.939674,0.926095,0.919263
256,0.951918,0.952193,0.880482,0.941866,0.919132,0.954255,0.884205,0.927032,0.942072,0.953695,0.882296,0.934506
257,0.937539,0.915882,0.903742,0.926761,0.905838,0.928616,0.925125,0.923173,0.919648,0.922208,0.926897,0.926355
258,0.95357,0.940287,0.866075,0.940658,0.945677,0.936655,0.865782,0.943951,0.949074,0.941883,0.871916,0.944444
259,0.972061,0.966654,0.863065,0.970138,0.975037,0.965967,0.917486,0.972303,0.977298,0.973713,0.884761,0.975886
260,0.956537,0.947902,0.933148,0.911806,0.9375,0.911579,0.936408,0.925837,0.950175,0.931531,0.937914,0.939215
261,0.952576,0.960014,0.954608,0.946667,0.949188,0.922117,0.828406,0.931563,0.953936,0.945337,0.936163,0.94196
262,0.952381,0.949873,0.913203,0.92849,0.937057,0.963636,0.917677,0.943295,0.94498,0.968635,0.914503,0.935566
263,0.926456,0.932198,0.921795,0.925409,0.929735,0.925738,0.92807,0.938923,0.931834,0.933991,0.93488,0.937393
264,0.946143,0.956443,0.908783,0.932197,0.956191,0.957664,0.917014,0.941575,0.959563,0.959169,0.916781,0.938478
265,0.886176,0.886131,0.900465,0.854588,0.874514,0.880047,0.872572,0.922478,0.881455,0.886355,0.892732,0.900428
266,0.935411,0.937553,0.94165,0.944413,0.939352,0.946022,0.949543,0.929839,0.943497,0.943195,0.946186,0.93889
267,0.936983,0.930529,0.921675,0.932663,0.954708,0.942597,0.912786,0.91692,0.947056,0.937915,0.921936,0.925642
268,0.930825,0.935181,0.9164,0.926393,0.916228,0.932252,0.907503,0.964729,0.920957,0.934906,0.914206,0.961507
269,0.952364,0.945102,0.920213,0.928724,0.912778,0.94765,0.901536,0.951332,0.937253,0.949104,0.912707,0.942521
270,0.971997,0.961779,0.935267,0.973529,0.966964,0.970373,0.924443,0.964026,0.975167,0.968784,0.93277,0.971429
271,0.930183,0.924468,0.889112,0.928496,0.927018,0.934721,0.884306,0.918288,0.927893,0.930339,0.889523,0.923921
