image_id,attenunet_prnu_illum_dice,attenunet_prnu_freq_dice,attenunet_freq_illum_dice,attenunet_all_dice,diff_prnu_illum_dice,diff_prnu_freq_dice,diff_freq_illum_dice,notes
249,0.98319,0.982657,0.978912,0.983351,0.000161,0.000694,0.004439,
250,0.964944,0.956663,0.967844,0.96769,0.002746,0.011027,-0.000154,
251,0.974014,0.971579,0.959452,0.980269,0.006255,0.00869,0.020817,
252,0.978102,0.974828,0.967008,0.963801,-0.014301,-0.011027,-0.003207,
253,0.971836,0.981256,0.977285,0.97702,0.005184,-0.004236,-0.000265,
254,0.989267,0.986472,0.972546,0.981366,-0.007901,-0.005106,0.00882,
255,0.949241,0.969443,0.951251,0.954354,0.005113,-0.015089,0.003103,
256,0.957862,0.976592,0.938545,0.962135,0.004273,-0.014457,0.02359,
257,0.950593,0.962987,0.961107,0.960052,0.009459,-0.002935,-0.001055,
258,0.97208,0.967292,0.928063,0.971167,-0.000913,0.003875,0.043104,
259,0.987361,0.982689,0.956968,0.985957,-0.001404,0.003268,0.028989,
260,0.967742,0.953744,0.96716,0.961491,-0.006251,0.007747,-0.005669,
261,0.973932,0.959481,0.906151,0.964569,-0.009363,0.005088,0.058418,
262,0.967506,0.981481,0.957071,0.97082,0.003314,-0.010661,0.013749,
263,0.963588,0.961437,0.962693,0.9685,0.004912,0.007063,0.005807,
264,0.977605,0.978374,0.956711,0.969908,-0.007697,-0.008466,0.013197,
265,0.933057,0.936197,0.93195,0.959676,0.026619,0.023479,0.027726,
266,0.968728,0.972262,0.974118,0.963644,-0.005084,-0.008618,-0.010474,
267,0.976829,0.97045,0.954405,0.956659,-0.02017,-0.013791,0.002254,
268,0.956283,0.964938,0.951509,0.982048,0.025765,0.01711,0.030539,
269,0.9544,0.973121,0.948219,0.975059,0.020659,0.001938,0.02684,
270,0.983204,0.984964,0.960738,0.981684,-0.00152,-0.00328,0.020946,
271,0.962127,0.966259,0.938601,0.957404,-0.004723,-0.008855,0.018803,
272,0.973083,0.963301,0.969015,0.958621,-0.014462,-0.00468,-0.010394,
273,0.968128,0.964885,0.947849,0.983244,0.015116,0.018359,0.035395,
274,0.978561,0.97561,0.980329,0.982935,0.004374,0.007325,0.002606,
275,0.96597,0.972337,0.956403,0.965837,-0.000133,-0.0065,0.009434,
276,0.987861,0.981362,0.98123,0.986166,-0.001695,0.004804,0.004936,
277,0.963777,0.956575,0.944479,0.952437,-0.01134,-0.004138,0.007958,
278,0.972268,0.985018,0.966712,0.982296,0.010028,-0.002722,0.015584,
279,0.981556,0.986117,0.964277,0.971891,-0.009665,-0.014226,0.007614,
280,0.984436,0.965429,0.976337,0.979464,-0.004972,0.014035,0.003127,
281,0.970131,0.976936,0.974032,0.974874,0.004743,-0.002062,0.000842,
282,0.971779,0.973343,0.953588,0.980093,0.008314,0.00675,0.026505,
283,0.975601,0.98526,0.97395,0.980289,0.004688,-0.004971,0.006339,
284,0.978998,0.989259,0.975539,0.980811,0.001813,-0.008448,0.005272,
285,0.96019,0.946756,0.960217,0.973003,0.012813,0.026247,0.012786,
286,0.969291,0.964021,0.971057,0.982597,0.013306,0.018576,0.01154,
287,0.970007,0.966556,0.977479,0.959727,-0.01028,-0.006829,-0.017752,
288,0.955979,0.961683,0.929016,0.961926,0.005947,0.000243,0.03291,
289,0.987923,0.983899,0.971115,0.979808,-0.008115,-0.004091,0.008693,
290,0.975057,0.979563,0.954392,0.980691,0.005634,0.001128,0.026299,
291,0.972719,0.98138,0.982716,0.973913,0.001194,-0.007467,-0.008803,
292,0.950622,0.955564,0.967765,0.965591,0.014969,0.010027,-0.002174,
293,0.988787,0.990591,0.978235,0.993954,0.005167,0.003363,0.015719,
294,0.970816,0.970779,0.986597,0.963867,-0.006949,-0.006912,-0.02273,
295,0.966371,0.976496,0.975392,0.965225,-0.001146,-0.011271,-0.010167,
296,0.965629,0.972065,0.953606,0.970842,0.005213,-0.001223,0.017236,
