image_id,unetpp_prnu_illum_dice,unetpp_prnu_freq_dice,unetpp_freq_illum_dice,unetpp_all_dice,diff_prnu_illum_dice,diff_prnu_freq_dice,diff_freq_illum_dice,notes
318,0.983322,0.983269,0.978243,0.97848,-0.004842,-0.004789,0.000237,
319,0.974043,0.983223,0.952442,0.967855,-0.006188,-0.015368,0.015413,
320,0.971061,0.965813,0.969126,0.972839,0.001778,0.007026,0.003713,
321,0.9491,0.973443,0.924848,0.978287,0.029187,0.004844,0.053439,
322,0.918326,0.922545,0.939365,0.919243,0.000917,-0.003302,-0.020122,
323,0.961486,0.964827,0.972021,0.957742,-0.003744,-0.007085,-0.014279,
324,0.975517,0.963046,0.969885,0.973215,-0.002302,0.010169,0.00333,
325,0.948477,0.970861,0.900626,0.962196,0.013719,-0.008665,0.06157,
326,0.981507,0.977946,0.957507,0.970103,-0.011404,-0.007843,0.012596,
327,0.980699,0.986214,0.982614,0.976927,-0.003772,-0.009287,-0.005687,
328,0.970884,0.977363,0.970537,0.968359,-0.002525,-0.009004,-0.002178,
329,0.981829,0.979365,0.955399,0.975458,-0.006371,-0.003907,0.020059,
330,0.985426,0.98123,0.978896,0.989465,0.004039,0.008235,0.010569,
331,0.96003,0.968489,0.949228,0.95568,-0.00435,-0.012809,0.006452,
332,0.965111,0.977639,0.973947,0.967832,0.002721,-0.009807,-0.006115,
333,0.973681,0.977773,0.97866,0.976245,0.002564,-0.001528,-0.002415,
334,0.961909,0.9566,0.959601,0.937054,-0.024855,-0.019546,-0.022547,
335,0.966972,0.961812,0.971049,0.969844,0.002872,0.008032,-0.001205,
336,0.974307,0.974412,0.950456,0.978235,0.003928,0.003823,0.027779,
337,0.976923,0.960889,0.957373,0.963246,-0.013677,0.002357,0.005873,
338,0.969584,0.971147,0.947096,0.97031,0.000726,-0.000837,0.023214,
339,0.981674,0.98448,0.96263,0.977532,-0.004142,-0.006948,0.014902,
340,0.974038,0.978253,0.973154,0.971005,-0.003033,-0.007248,-0.002149,
341,0.973782,0.958801,0.916058,0.967168,-0.006614,0.008367,0.05111,
342,0.959991,0.963428,0.911052,0.974627,0.014636,0.011199,0.063575,
343,0.980379,0.973055,0.981005,0.982587,0.002208,0.009532,0.001582,
344,0.987046,0.980983,0.974071,0.986966,-0.00008,0.005983,0.012895,
