image_id,proposed_iou,proposed_dice,proposed_bf_score,segformer_iou,segformer_dice,segformer_bf_score,diff_iou,diff_dice,diff_bf_score
269,0.942521,0.97041,0.994318,0.952537,0.975692,1,-0.010016,-0.005282,-0.005682
270,0.971429,0.985507,1,0.973214,0.986425,1,-0.001785,-0.000918,0
271,0.923921,0.960456,0.994318,0.954497,0.976719,1,-0.030576,-0.016263,-0.005682
272,0.939858,0.968997,1,0.965086,0.982233,1,-0.025228,-0.013236,0
273,0.981168,0.990494,1,0.961295,0.980266,1,0.019873,0.010228,0
274,0.965324,0.982356,1,0,0,0,0.965324,0.982356,1
275,0.930935,0.964232,0.924904,0.97547,0.987583,1,-0.044535,-0.023351,-0.075096
276,0.971505,0.985547,1,0.978194,0.988977,1,-0.006689,-0.00343,0
277,0.920971,0.95886,0.874368,0.925255,0.961177,0.989709,-0.004284,-0.002317,-0.115341
278,0.972989,0.986309,1,0.981094,0.990457,1,-0.008105,-0.004148,0
279,0.949167,0.973921,1,0.973568,0.986607,1,-0.024401,-0.012686,0
280,0.959846,0.979512,1,0.970263,0.984907,1,-0.010417,-0.005395,0
281,0.96576,0.982582,1,0.94895,0.973807,1,0.01681,0.008775,0
282,0.957367,0.978219,1,0.949667,0.974184,1,0.0077,0.004035,0
283,0.965949,0.982679,1,0.978092,0.988925,1,-0.012143,-0.006246,0
284,0.9681,0.983792,1,0.981132,0.990476,1,-0.013032,-0.006684,0
285,0.927795,0.962545,0.988764,0.955325,0.977152,1,-0.02753,-0.014607,-0.011236
286,0.966436,0.982932,1,0.960877,0.980048,1,0.005559,0.002884,0
287,0.932961,0.965318,0.980329,0.96786,0.983667,1,-0.034899,-0.018349,-0.019671
288,0.92751,0.962392,0.952858,0.96878,0.984143,1,-0.04127,-0.021751,-0.047142
289,0.961796,0.980526,0.967152,0.948638,0.973642,1,0.013158,0.006884,-0.032848
290,0.960199,0.979695,1,0.966323,0.982873,1,-0.006124,-0.003178,0
291,0.964124,0.981734,1,0.972134,0.98587,1,-0.00801,-0.004136,0
292,0.935272,0.966553,0.971831,0.96696,0.983202,1,-0.031688,-0.016649,-0.028169
293,0.981758,0.990795,1,0.983101,0.991479,1,-0.001343,-0.000684,0
294,0.929595,0.963513,1,0.963936,0.981637,1,-0.034341,-0.018124,0
295,0.93401,0.965879,1,0.97381,0.986731,1,-0.0398,-0.020852,0
296,0.942508,0.970403,0.99363,0.969203,0.984361,1,-0.026695,-0.013958,-0.00637
297,0.960563,0.979885,1,0.972141,0.985874,1,-0.011578,-0.005989,0
298,0.960926,0.980074,1,0.966533,0.982982,1,-0.005607,-0.002908,0
299,0.943939,0.971161,1,0.943743,0.971057,1,0.000196,0.000104,0
300,0.947704,0.97315,0.955801,0.965963,0.982687,1,-0.018259,-0.009537,-0.044199
301,0.975782,0.987743,1,0.975109,0.987398,1,0.000673,0.000345,0
302,0.886453,0.939809,0.923281,0.974854,0.987267,1,-0.088401,-0.047458,-0.076719
303,0.949658,0.974179,1,0.9604,0.9798,1,-0.010742,-0.005621,0
304,0.977672,0.98871,1,0.972574,0.986097,1,0.005098,0.002613,0
305,0.962759,0.981026,1,0.943972,0.971178,1,0.018787,0.009848,0
306,0.942029,0.970149,1,0.958607,0.978866,1,-0.016578,-0.008717,0
307,0.976291,0.988003,1,0.976714,0.98822,1,-0.000423,-0.000217,0
308,0.950609,0.974679,1,0.978056,0.988906,1,-0.027447,-0.014227,0
309,0.956966,0.97801,1,0.958729,0.97893,1,-0.001763,-0.00092,0
310,0.933207,0.96545,1,0.950992,0.97488,1,-0.017785,-0.00943,0
311,0.941271,0.969747,0.95144,0.940871,0.969535,1,0.0004,0.000212,-0.04856
312,0.954513,0.976727,1,0.971966,0.985784,1,-0.017453,-0.009057,0
313,0.956941,0.977997,1,0.966173,0.982796,1,-0.009232,-0.004799,0
314,0.955442,0.977213,1,0.978078,0.988917,1,-0.022636,-0.011704,0
315,0.975317,0.987504,1,0.95172,0.975263,1,0.023597,0.012241,0
316,0.946357,0.972439,1,0,0,0,0.946357,0.972439,1
317,0.972222,0.985915,1,0.981119,0.99047,1,-0.008897,-0.004555,0
318,0.964935,0.982155,1,0.984496,0.992188,1,-0.019561,-0.010033,0
319,0.945853,0.972173,1,0.963644,0.981486,1,-0.017791,-0.009313,0
320,0.94603,0.972266,0.986754,0.966786,0.983112,1,-0.020756,-0.010846,-0.013246
