image_id,proposed_iou,proposed_dice,diff_id_iou,diff_id_dice,two_stream_iou,two_stream_dice,xceptionnet_iou,xceptionnet_dice,segformer_iou,segformer_dice
179,0.923919,0.960455,0.918557,0.95755,0.897494,0.945978,0.707388,0.82862,0.949074,0.973872
180,0.964363,0.981858,0.965095,0.982238,0.972401,0.986008,0.905831,0.950589,0.957621,0.978352
181,0.944644,0.971534,0.964154,0.98175,0.960598,0.979903,0.946906,0.972729,0.958303,0.978708
182,0.964768,0.982068,0.969302,0.984412,0.963804,0.981568,0.933728,0.965728,0.955147,0.977059
183,0.953561,0.976229,0.961402,0.980321,0.960026,0.979605,0.919899,0.958279,0.974334,0.987
184,0.920701,0.958713,0.950214,0.974471,0.934053,0.965902,0.897345,0.945896,0.938837,0.968454
185,0.97619,0.987952,0.976219,0.987967,0.981541,0.990684,0.944771,0.971601,0.97862,0.989195
186,0.975588,0.987643,0.979521,0.989654,0.975652,0.987676,0.929759,0.963601,0.980263,0.990033
187,0.976835,0.988282,0.979401,0.989594,0.968425,0.983959,0.922029,0.959433,0.978532,0.98915
188,0.970418,0.984987,0.972213,0.985911,0.975326,0.987509,0.958291,0.978701,0.972203,0.985906
189,0.976075,0.987893,0.957854,0.978474,0.971895,0.985747,0.947694,0.973145,0.969391,0.984458
190,0.942496,0.970397,0.95538,0.977181,0.962753,0.981023,0.928481,0.962914,0.967844,0.983659
191,0.959359,0.979258,0.98264,0.991244,0.976143,0.987928,0.945024,0.971735,0.967844,0.983659
192,0.985485,0.992689,0.972752,0.986188,0.978423,0.989094,0.922864,0.959885,0.978346,0.989055
193,0.928457,0.962901,0.95288,0.975871,0.947495,0.97304,0.952106,0.975465,0.958419,0.978768
194,0.959158,0.979153,0.974317,0.986992,0.955383,0.977183,0.958224,0.978666,0.963438,0.981379
195,0.955411,0.977197,0.959309,0.979232,0.950617,0.974684,0.871964,0.931603,0.925,0.961039
196,0.967667,0.983568,0.97008,0.984813,0.962233,0.980753,0.962902,0.9811,0.955882,0.977444
197,0.950045,0.974383,0.958002,0.97855,0.958481,0.9788,0.719496,0.836869,0.979024,0.989401
198,0.964045,0.981693,0.960881,0.98005,0.955425,0.977205,0.898335,0.946445,0.931301,0.964429
