image_id,proposed_iou,proposed_dice,proposed_bf_score,two_stream_iou,two_stream_dice,two_stream_bf_score,diff_iou,diff_dice,diff_bf_score
219,0.969111,0.984313,1,0.977853,0.988803,1,-0.008742,-0.00449,0
220,0.9375,0.967742,1,0.978858,0.989316,1,-0.041358,-0.021574,0
221,0.974325,0.986995,1,0.959637,0.979403,1,0.014688,0.007592,0
222,0.946298,0.972408,1,0.916181,0.956257,0.957661,0.030117,0.016151,0.042339
223,0.849234,0.918471,0.773192,0.932124,0.96487,1,-0.08289,-0.046399,-0.226808
224,0.892262,0.943064,0.972968,0.938346,0.968192,1,-0.046084,-0.025128,-0.027032
225,0.94974,0.974222,0.983423,0.947077,0.972819,1,0.002663,0.001403,-0.016577
226,0.952195,0.975512,1,0.951641,0.975222,1,0.000554,0.00029,0
227,0.939796,0.968963,0.964911,0.965134,0.982258,1,-0.025338,-0.013295,-0.035089
228,0.971634,0.985613,1,0.97554,0.987618,1,-0.003906,-0.002005,0
229,0.956989,0.978022,1,0.972245,0.985927,1,-0.015256,-0.007905,0
230,0.954311,0.976622,1,0.97488,0.98728,1,-0.020569,-0.010658,0
231,0.922958,0.959936,1,0.944122,0.971258,1,-0.021164,-0.011322,0
232,0.823289,0.903081,0.526986,0.910278,0.953032,0.83996,-0.086989,-0.049951,-0.312974
233,0.936451,0.967183,1,0.946537,0.972534,1,-0.010086,-0.005351,0
234,0.942847,0.970583,0.972314,0.950891,0.974828,1,-0.008044,-0.004245,-0.027686
235,0.936147,0.967021,0.988472,0.966021,0.982717,1,-0.029874,-0.015696,-0.011528
236,0.931914,0.964757,0.994565,0.94637,0.972446,0.967296,-0.014456,-0.007689,0.027269
237,0.950605,0.974677,1,0.976532,0.988127,1,-0.025927,-0.01345,0
238,0.965291,0.982339,1,0.966201,0.98281,1,-0.00091,-0.000471,0
239,0.966168,0.982793,1,0.956321,0.977673,1,0.009847,0.00512,0
240,0.961034,0.98013,1,0.970236,0.984893,1,-0.009202,-0.004763,0
241,0.931205,0.964377,1,0.958515,0.978818,1,-0.02731,-0.014441,0
242,0.958894,0.979015,1,0.981818,0.990826,1,-0.022924,-0.011811,0
