image_id,proposed_iou,proposed_dice,proposed_bf_score,xceptionnet_iou,xceptionnet_dice,xceptionnet_bf_score,diff_iou,diff_dice,diff_bf_score
299,0.943939,0.971161,1,0.937834,0.96792,0.935137,0.006105,0.003241,0.064863
300,0.947704,0.97315,0.955801,0.953669,0.976285,1,-0.005965,-0.003135,-0.044199
301,0.975782,0.987743,1,0.957933,0.978515,1,0.017849,0.009228,0
302,0.886453,0.939809,0.923281,0.956541,0.977788,1,-0.070088,-0.037979,-0.076719
303,0.949658,0.974179,1,0.926573,0.961887,0.98863,0.023085,0.012292,0.01137
304,0.977672,0.98871,1,0.951416,0.975103,1,0.026256,0.013607,0
305,0.962759,0.981026,1,0.948021,0.973317,1,0.014738,0.007709,0
306,0.942029,0.970149,1,0.94941,0.974049,1,-0.007381,-0.0039,0
307,0.976291,0.988003,1,0.952726,0.975791,1,0.023565,0.012212,0
308,0.950609,0.974679,1,0.951573,0.975186,1,-0.000964,-0.000507,0
309,0.956966,0.97801,1,0.920084,0.958379,1,0.036882,0.019631,0
310,0.933207,0.96545,1,0.878389,0.935258,0.770425,0.054818,0.030192,0.229575
311,0.941271,0.969747,0.95144,0.955429,0.977207,1,-0.014158,-0.00746,-0.04856
312,0.954513,0.976727,1,0.953472,0.976182,1,0.001041,0.000545,0
313,0.956941,0.977997,1,0.855773,0.922282,0.747245,0.101168,0.055715,0.252755
314,0.955442,0.977213,1,0.729046,0.843292,0.338641,0.226396,0.133921,0.661359
315,0.975317,0.987504,1,0.963839,0.981587,1,0.011478,0.005917,0
316,0.946357,0.972439,1,0.93318,0.965435,0.96129,0.013177,0.007004,0.03871
317,0.972222,0.985915,1,0.880572,0.936494,0.799632,0.09165,0.049421,0.200368
318,0.964935,0.982155,1,0.950083,0.974402,1,0.014852,0.007753,0
